
Analysis complete for Ssp-AAtu_015-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_015-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_041-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_048-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_049-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_041-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_051-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_052-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_051-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_052-Ex1-cssl.2.fq.gz
Analysis complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Started analysis of Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 5% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 10% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 15% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 20% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 25% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 30% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 35% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 40% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 45% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 50% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 55% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 60% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 65% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 70% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 75% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 80% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 85% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 90% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Approx 95% complete for Ssp-AAtu_050-Ex1-cssl.1.fq.gz
Analysis complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Started analysis of Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 5% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 10% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 15% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 20% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 25% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 30% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 35% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 40% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 45% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 50% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 55% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 60% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 65% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 70% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 75% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 80% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 85% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 90% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
Approx 95% complete for Ssp-AAtu_050-Ex1-cssl.2.fq.gz
slurmstepd: error: *** JOB 1121455 ON d4-w6420b-04 CANCELLED AT 2022-10-05T11:13:58 ***
